precipitation,temperature,humidity,snow_falling,snow_depth
2.5,-1.9,76,6,28
0,-6.7,56,0,28
0,-5.9,56,1,27
0,-5.3,56,2,27
0,-2.1,56,1,27
0,-1,62,1,28
0.5,-2.8,79,1,27
0,-4.4,73,0,27
4.5,-1.5,77,8,34
16,-3.4,83,20,54
0,-1.5,80,0,51
0,0.7,81,0,45
0,2.6,83,0,42
0.5,1.5,72,0,36
0.5,-4.7,58,2,35
18.5,-4.6,89,30,65
0.5,-5.5,68,0,64
2,-4.5,69,5,54
1,-4.4,76,4,55
6,-0.9,72,9,55
8,-5.7,71,13,67
0,-5.8,56,0,62
3.5,-5.9,64,5,59
2.5,-8.5,67,3,61
4,-11,59,4,61
1,-7.1,57,0,57
0,-6.1,70,1,56
0,-7.5,62,1,54
0,-8,52,0,54
0,-6.9,67,0,53
0,-6.1,66,0,52
9.5,-4.1,81,10,61
8.5,-5.1,71,11,69
0,-5.4,60,0,68
0.5,-4.8,70,1,64
2.5,-3.6,70,6,67
4.5,-0.9,76,5,72
0,-2.5,64,0,68
0,-4.7,68,0,65
9.5,-5.4,72,13,75
0.5,-4.8,75,1,74
0,-2.2,81,0,69
1.5,0.4,82,5,66
8.5,-1.8,86,13,75
5,-4.7,73,7,79
7.5,-8.3,75,10,83
2.5,-4.3,74,6,89
0,-0.3,79,0,79
0.5,2.2,69,1,74
3.5,-0.1,86,10,77
13.5,-2.4,81,13,87
3.5,-5.7,70,6,87
1,-2.8,71,2,87
3.5,-0.2,86,4,86
0.5,-1.5,76,3,79
6.5,-2.1,81,11,86
10.5,-4.1,78,13,96
0.5,-1.5,72,0,96
0,4.8,63,0,87
0.5,3.3,72,0,76
0.5,0.5,71,3,73
1,0.2,66,4,74
4.5,-0.7,84,6,77
0,1.1,67,0,76
0,4.8,65,0,69
0,7.2,68,0,65
0,4.9,77,0,59
1,2.7,71,0,55
6,4.5,87,0,51
0,3.1,76,0,47
0,5,73,0,42
8.5,6.8,75,0,36
0,2.3,56,0,27
0,4.4,50,0,25
1.5,4.1,72,0,20
0.5,2.2,65,1,15
0,3.5,51,0,14
0,5.4,44,0,10
0,7.7,50,0,5
0,9.5,49,0,0
0,11.6,47,0,0
0.5,10.7,75,0,0
0.5,4.8,76,0,0
0,3.8,60,0,0
8,4,80,0,0
2.5,5,58,0,0
0,6.5,54,0,0
0,6.8,58,0,0
0,9.1,58,0,0
0,8.3,67,0,0
1.5,5.3,74,0,0
0,5.8,77,0,0
0,6.7,69,0,0
0,10,55,0,0
0,11.7,59,0,0
0.5,11.3,69,0,0
4.5,9.9,91,0,0
3.5,7.6,82,0,0
1,6,65,0,0
0,10.7,56,0,0
0,13,63,0,0
11,10.4,50,0,0
0,9.2,36,0,0
0,9,56,0,0
0,8.2,51,0,0
23,6.4,90,0,0
5.5,3.5,80,0,0
0,7.9,62,0,0
0,8.8,72,0,0
0,10.6,65,0,0
0,10.1,38,0,0
0,7.3,53,0,0
0.5,8,48,0,0
0,8,51,0,0
0,11,39,0,0
4,9.7,80,0,0
0,10.8,41,0,0
0,12.2,57,0,0
0,13.8,65,0,0
6,14.3,67,0,0
0,11.3,64,0,0
0,10.7,61,0,0
0,14.7,47,0,0
0,17.1,49,0,0
5.5,15.2,72,0,0
7.5,11,77,0,0
0,10.8,56,0,0
0,9.8,68,0,0
0,12,63,0,0
0,11.2,64,0,0
0.5,8,66,0,0
0,8.6,69,0,0
0,13.5,53,0,0
0,16.6,54,0,0
0,13.7,81,0,0
0,16,76,0,0
0,16.2,71,0,0
0,17.5,71,0,0
0,13.9,79,0,0
0,15.2,67,0,0
6.5,13,82,0,0
0,11.7,79,0,0
0,10.6,67,0,0
0,13,65,0,0
0,18.1,48,0,0
0,19.3,50,0,0
0,20.3,61,0,0
0.5,17.9,73,0,0
0,13.8,89,0,0
0,11.6,73,0,0
1,14,63,0,0
0,18.1,47,0,0
24.5,18.5,66,0,0
6,13.2,83,0,0
1.5,11.7,81,0,0
3,13.7,77,0,0
0.5,17.7,72,0,0
2.5,17.6,82,0,0
0,19,74,0,0
4.5,17.1,83,0,0
0.5,17.7,76,0,0
0,18.6,78,0,0
1,20.6,72,0,0
6,18.8,80,0,0
0,19.3,81,0,0
0,21,76,0,0
0,21,76,0,0
0,22.9,62,0,0
0,17.5,67,0,0
0,16.8,67,0,0
0,18.6,66,0,0
0,21.8,56,0,0
0,20.6,67,0,0
1,21,62,0,0
0,20.4,72,0,0
0,21.1,73,0,0
0,22.9,69,0,0
0,23.6,66,0,0
0,24,75,0,0
49.5,23,85,0,0
33,22.6,88,0,0
1.5,19.2,86,0,0
0,19.7,73,0,0
0,20.2,79,0,0
0,21.2,74,0,0
0,21.7,73,0,0
3.5,21.6,82,0,0
0,22.2,79,0,0
0,24.8,74,0,0
0,25.6,72,0,0
0,24.1,77,0,0
5.5,24.3,82,0,0
1.5,23.5,83,0,0
0,22.8,73,0,0
0,22.1,77,0,0
39,20.4,91,0,0
0,23.9,82,0,0
0,22.8,88,0,0
0,21,84,0,0
0,21.7,77,0,0
0,23.2,78,0,0
0,23.5,73,0,0
0,24.1,68,0,0
0,24.6,74,0,0
0,25.7,77,0,0
6,26.6,83,0,0
0,27.7,76,0,0
0,27.7,72,0,0
0,28.2,72,0,0
0,29.7,63,0,0
0,28.5,67,0,0
4.5,26,77,0,0
0,26.6,71,0,0
0,29.1,61,0,0
2,28,72,0,0
15.5,27.4,78,0,0
4,25.8,88,0,0
9.5,22.7,93,0,0
0.5,23.1,85,0,0
8,24.7,87,0,0
1,27.3,83,0,0
0,27.5,80,0,0
0,27.8,74,0,0
0,27.1,75,0,0
0,26.9,76,0,0
0,26.7,74,0,0
0,25.5,67,0,0
2,25.3,85,0,0
9,27,75,0,0
0,26.2,75,0,0
0.5,26.8,80,0,0
6.5,26,87,0,0
0,26.5,82,0,0
0,28.7,77,0,0
0,30.4,73,0,0
3,29.1,78,0,0
0,29.7,76,0,0
0,29.8,72,0,0
8,26.3,83,0,0
0,25.1,80,0,0
0,24.1,77,0,0
0,24.5,76,0,0
0,26.9,81,0,0
6,25.2,87,0,0
0,24.3,74,0,0
0,24,70,0,0
0.5,24.1,77,0,0
15.5,25,85,0,0
11.5,23.8,83,0,0
0,21.5,62,0,0
0,21,72,0,0
0,23.4,79,0,0
0,24.9,73,0,0
0,24.2,83,0,0
26,24.1,89,0,0
0.5,24.1,79,0,0
23.5,20.6,88,0,0
0,21.4,64,0,0
0,21.7,70,0,0
10,22.5,77,0,0
35.5,23.9,90,0,0
3,22.4,81,0,0
0,19.9,61,0,0
0,16.5,71,0,0
0,18.4,66,0,0
4,16.9,70,0,0
0,16.8,62,0,0
0,17.9,75,0,0
1,19.8,80,0,0
0,20.1,80,0,0
3,18.6,87,0,0
0,18.5,72,0,0
6,18.3,75,0,0
2.5,19.5,70,0,0
1,16.2,64,0,0
1,16.2,66,0,0
0,16.5,70,0,0
23,15.1,81,0,0
11,14.6,74,0,0
2,13.8,72,0,0
0,12.8,69,0,0
0,13.8,74,0,0
0,15.3,72,0,0
0,13,65,0,0
0,14.4,64,0,0
0,15.7,66,0,0
0,15.3,71,0,0
0,15.6,63,0,0
0,12.8,65,0,0
5.5,9.4,67,0,0
0,14.7,60,0,0
3,15.1,79,0,0
32,10.2,87,0,0
4,7.5,66,0,0
3.5,7.6,71,0,0
0,10,63,0,0
0,11.5,73,0,0
0,14.4,78,0,0
0,13,82,0,0
0,13.6,82,0,0
0,12.3,73,0,0
0,11.8,72,0,0
0,10.2,80,0,0
0,11.3,74,0,0
15.5,13.3,84,0,0
2,11.3,69,0,0
1,14.4,79,0,0
0,8.2,65,0,0
0,7.7,61,0,0
5,14.2,82,0,0
8,13.2,83,0,0
5.5,8.3,79,0,0
0,10.6,73,0,0
7.5,11.2,78,0,0
1,2.5,58,0,0
0,2.2,67,0,0
0,3.3,61,0,0
4,3.4,73,0,0
0,4.7,64,0,0
0,6.6,69,0,0
47.5,10.5,86,0,0
0,9.7,57,0,0
2,8.7,62,0,0
5,5.4,65,0,0
0,8.5,61,0,0
0,9.9,71,0,0
0.5,13,75,0,0
14.5,3.5,70,14,14
0,-3.1,57,0,13
1,-1.1,82,3,9
0,2.1,78,0,8
4.5,5.5,79,1,2
2,-2.1,74,3,4
0,-4.3,65,0,3
0,-3.2,63,0,2
0,-0.9,66,0,2
0,2.5,66,0,1
0,2.9,65,0,0
0,5.6,77,0,0
0,5.2,82,0,0
3,7.7,79,0,0
0.5,1.6,62,2,2
4.5,7.7,83,0,0
0,0.3,57,0,0
0,-1.9,64,1,1
7,-0.7,78,6,6
0.5,-1.9,58,1,7
0,-1.9,54,0,5
0,-1,63,2,5
3.5,-0.8,85,5,10
3,-1.4,67,2,8
0,-6.2,55,0,7
0,-5,66,0,7
0,-4.1,61,0,7
0,-3.6,61,3,9
0,-3.3,56,0,9
0,-5.7,49,0,8
0,-3.5,56,0,8
0,-2.2,63,0,8
17.5,-0.9,86,27,33
0.5,-2.4,55,0,32
0.5,-1.8,66,0,25
0,-0.1,61,0,23
0,0.3,73,0,21
6.5,-1.9,87,7,26
0.5,-6,64,1,26
2.5,-0.2,79,1,25
0.5,-0.4,75,1,22
0,-1.2,75,0,22
3,1.3,80,0,20
0.5,0.6,73,2,20
13,-0.9,86,22,38
8,-3.3,80,12,48
2,-2.2,79,1,43
0,-5.2,56,0,40
0,-2.9,70,0,36
8.5,0.1,80,12,43
12,-3,81,15,52
8.5,-1.9,83,12,58
10,-5.3,73,8,59
24.5,-5.7,82,23,80
0,-1.2,81,0,73
1.5,-0.5,81,1,64
3,-3.7,63,3,62
5,-6.2,76,14,71
5,-6.6,78,4,66
2,-1.7,85,0,65
9,0.8,74,6,67
9.5,-1.7,79,9,67
12,-0.6,86,5,70
7.5,0.7,89,5,73
0.5,0.8,80,0,72
1,1,80,1,69
4,1,86,3,69
0,-0.2,65,0,65
0,-1.6,74,0,63
2.5,-4.8,66,5,66
6,-5.2,65,9,71
6,-5.8,75,10,78
4,-2.4,78,6,75
0.5,-4.6,62,2,77
0,-5.4,60,0,72
0,-2.9,73,0,69
0,-1.6,67,0,68
1,-1.6,66,3,67
0.5,-1.3,73,1,66
17.5,-2.1,76,28,94
0,0.1,58,0,85
0,5.4,64,0,80
0,5.2,71,0,71
2.5,1.2,79,0,63
10,-2.5,78,11,72
0,-1.4,66,0,70
0,2.7,73,0,67
1,7.6,81,0,61
14.5,-1,73,2,53
0,-3.9,52,0,52
19.5,-4.7,79,36,87
12.5,-5.7,84,15,93
5,-4.9,83,10,94
1.5,-3.3,67,2,89
7.5,-2.9,89,5,81
4,-1.4,71,2,82
0,-3.9,60,0,78
1,-3.2,76,4,79
2,-0.4,77,2,75
10.5,-6,75,11,86
0.5,-3.4,65,0,84
0,-3.7,66,0,80
0,-2,61,0,78
0,-2.4,69,2,77
5,-2.7,77,10,84
0,-2.8,57,0,78
1.5,-2,69,4,78
13,-1.7,78,17,95
0,2.1,67,0,86
0,2.6,77,0,78
0.5,-0.5,61,1,74
0,0.9,73,2,74
8,1.8,82,4,73
1,2.7,65,1,73
4.5,2,80,0,69
3.5,1.4,76,0,66
11,-0.9,75,14,76
0,-0.5,69,1,73
0,0,64,0,68
0,1.1,66,0,67
0,2.3,58,0,64
0,4.7,61,0,60
0,3.6,50,0,55
0,2.4,56,0,52
0,2.8,60,0,49
0,4,53,0,45
3,8.2,82,0,41
1.5,6.9,62,0,32
2,4.8,57,0,26
0,4.9,54,0,22
0,4.6,54,1,18
0,5.7,56,0,13
0,6,66,0,9
0,7.4,46,0,5
0,9.5,47,0,0
0,12.1,67,0,0
0,13.5,63,0,0
0,4.4,61,0,0
0,7.8,36,0,0
0,10.1,41,0,0
0,12.3,58,0,0
0,14.2,59,0,0
0,13.9,67,0,0
0,16.3,51,0,0
0,15.9,67,0,0
12,15,81,0,0
6.5,10.9,93,0,0
1,8.4,85,0,0
1,6.4,88,0,0
0,7.3,85,0,0
0.5,7.8,80,0,0
0,10.3,67,0,0
0.5,10.1,75,0,0
11.5,11.3,92,0,0
0,15.6,66,0,0
0,18.2,57,0,0
0,12,67,0,0
0,10.8,52,0,0
1.5,10.7,69,0,0
0,9.8,61,0,0
0,14.1,38,0,0
0,14.4,37,0,0
0,13.5,49,0,0
0,16.2,60,0,0
3,15.5,81,0,0
6,11.2,87,0,0
0.5,6.1,74,0,0
0.5,9.6,65,0,0
0,13.8,55,0,0
0,17.2,53,0,0
1.5,17.3,70,0,0
3.5,13.3,86,0,0
0,16.2,53,0,0
0,17.7,48,0,0
1.5,17.4,63,0,0
2,15.6,71,0,0
0,19.6,51,0,0
0,17.2,51,0,0
0.5,15.3,62,0,0
13.5,11.3,83,0,0
0,16.1,50,0,0
0,17.3,61,0,0
5,12.1,84,0,0
0.5,11,70,0,0
0,15.5,61,0,0
1,15.9,78,0,0
0,14,71,0,0
0,10.6,79,0,0
0,12.4,79,0,0
1,13.2,78,0,0
0,15.7,68,0,0
0,15.4,59,0,0
0,15.5,62,0,0
4.5,15.1,77,0,0
5.5,12.5,88,0,0
0,12.9,82,0,0
0,17.6,71,0,0
0,20.9,66,0,0
2,18.4,81,0,0
0.5,20.2,76,0,0
0,20.2,74,0,0
0,21.8,70,0,0
0,19.4,81,0,0
0,17,87,0,0
0,20.8,75,0,0
9,20.4,83,0,0
0,22.6,58,0,0
0.5,21,73,0,0
0,19.1,71,0,0
0,19.3,70,0,0
0,21,73,0,0
0,18.7,88,0,0
0,19.6,84,0,0
0.5,20.1,84,0,0
0,17.4,84,0,0
0,15,78,0,0
2,19.1,73,0,0
0,23.9,69,0,0
0,24.5,60,0,0
13.5,23.9,63,0,0
0,18.2,83,0,0
0,19,67,0,0
0,21.8,62,0,0
0,22.4,71,0,0
3.5,23.6,76,0,0
1.5,22.4,80,0,0
0.5,23,81,0,0
0,20.1,90,0,0
2,21.2,87,0,0
0,22.5,74,0,0
0,21.6,79,0,0
0,22.4,75,0,0
0,20.8,78,0,0
0,22.9,67,0,0
0,24.1,69,0,0
0,24.8,72,0,0
0,26,67,0,0
0,26.2,72,0,0
0,24.1,84,0,0
0,27,76,0,0
0,27.9,69,0,0
0,28.8,65,0,0
1,28.1,73,0,0
5,23.4,85,0,0
1,22.4,79,0,0
0,23.9,77,0,0
1.5,22.9,83,0,0
76,23.1,86,0,0
52,22.9,97,0,0
0,23.7,83,0,0
0,22.6,79,0,0
1,23.5,82,0,0
0,26.1,76,0,0
5,25.7,80,0,0
4.5,21.3,87,0,0
0,21.5,82,0,0
0,23.2,82,0,0
0,25.9,82,0,0
0,26,82,0,0
0,26.7,79,0,0
0,25.6,82,0,0
0,25.3,75,0,0
2,27.6,74,0,0
17.5,26,93,0,0
4.5,25.7,90,0,0
0,24,86,0,0
0,25.3,80,0,0
0,24.3,82,0,0
0,23,79,0,0
4.5,23.8,78,0,0
3,21.8,84,0,0
0,23.2,76,0,0
5.5,22.9,81,0,0
0,28,78,0,0
0,25.7,76,0,0
0,24.3,72,0,0
1.5,24.8,78,0,0
34,22.3,93,0,0
0,23.5,80,0,0
0,24.9,77,0,0
0,25.7,83,0,0
19.5,23.8,81,0,0
0,23.8,64,0,0
0,22.7,73,0,0
0,23,61,0,0
0,22.7,68,0,0
0,24.1,76,0,0
3,21.7,72,0,0
0,21.3,58,0,0
0,24.2,57,0,0
0,22.6,60,0,0
0,24.1,73,0,0
6,21.6,72,0,0
0,21.2,67,0,0
0,20.2,64,0,0
9,18.3,66,0,0
35,17.5,83,0,0
0,18.2,66,0,0
0,20.5,73,0,0
0,20.3,63,0,0
0,19.1,68,0,0
3,17.3,69,0,0
0,14.6,59,0,0
0,13.9,68,0,0
0,14.8,69,0,0
0,16.2,69,0,0
0,17.5,70,0,0
0.5,20.4,76,0,0
18,19.8,86,0,0
0,18.9,76,0,0
0,17.2,74,0,0
0,17.8,73,0,0
0,20.4,69,0,0
0,18.5,80,0,0
4,14.7,64,0,0
39.5,13.7,93,0,0
4.5,17.2,75,0,0
0,16.7,71,0,0
2,16.1,87,0,0
11.5,15.2,76,0,0
0,12.6,65,0,0
0,13,61,0,0
0,12.9,64,0,0
0,14.9,71,0,0
0,14.9,56,0,0
0,14.1,61,0,0
1,18.3,79,0,0
7.5,15,73,0,0
0,12.8,67,0,0
0,14.5,71,0,0
34,12.8,87,0,0
5,7.1,60,0,0
0,10.4,68,0,0
0,15.7,75,0,0
25,18.3,88,0,0
0,15.5,63,0,0
0,11.6,70,0,0
0,11.3,71,0,0
0,10.9,78,0,0
24,9.6,83,0,0
0,9,71,0,0
0,9.7,72,0,0
2,11.9,64,0,0
5,10.2,89,0,0
0,11.1,83,0,0
11.5,8.9,84,0,0
6.5,10.2,76,0,0
0,7,50,0,0
7.5,4.7,73,1,1
46.5,2.2,85,9,7
3,4.3,73,0,6
0,6,68,0,4
0.5,8.6,76,0,1
0,9.9,67,0,0
5,7,71,0,0
0,5.9,56,0,0
0,6.1,62,0,0
3,9.4,74,0,0
0,9.6,74,0,0
5,9.9,79,0,0
1,0.5,58,1,1
5,0.1,62,6,7
0.5,5.8,64,0,2
0,5.2,79,0,0
0,4.7,73,0,0
9,3.5,73,6,6
10,1.8,72,6,12
0,3.7,66,0,9
2,5,72,0,4
7,10.5,80,0,0
0,5.4,64,0,0
3,1.4,82,4,4
3,0.5,80,2,5
0,2.4,65,2,4
0,3.5,72,0,0
2,4.1,68,0,0
1,-0.2,74,0,0
2.5,-0.5,78,1,1
0.5,-1.7,70,1,1
1,-2.5,67,2,3
5.5,-1.6,67,9,9
1.5,0,63,3,9
0,1.3,54,0,7
3,-1.5,71,6,11
6.5,-3.6,71,9,19
0.5,-2.8,67,0,14
0.5,-3.2,62,0,11
2,-2.6,79,4,13
2,-4.7,71,5,17
0.5,-4.6,68,0,17
2.5,-3.3,67,4,18
0.5,-0.6,64,0,16
0,-3.3,66,0,14
0,-5.2,70,0,14
0.5,-3.8,74,3,16
4,-3.4,74,3,19
6.5,-4.1,82,12,29
0,-0.2,64,0,26
4.5,0.2,79,5,22
1,-5,60,0,22
0,-3.4,54,0,19
0,-3.4,66,2,20
0,-3.2,63,0,19
6,-3.5,87,11,29